TP,TC,PC,USERNAME,FILENAME,BIRTHYR,SEX,EDLEVEL,MATLANG,TESTDAY,TESTL,REFTEXT,FEEDB,PROTNOTE,PERSNOTE,NLR,NLF,NLX,BLR,BLF,BLX,FORMLR,FORMLF,FORMLX,NAR,NAF,NAX,MIPR,MIPF,MIPX,OR1R,OR1F,OR1X,OR2R,OR2F,OR2X,OR3R,OR3F,OR3X,OR4R,OR4F,OR4X,OR5R,OR5F,OR5X,S2DR,S2DF,S2DX,S3DR,S3DF,S3DX,PSIF1M,PSIF1F,PBOK1M,PBOK1F,PFIG1M,PFIG1F,BLFRR,SKPSM,SKPSF,SKPBM,SKPBF,SKPFM,SKPFF,SKLJR,SKLJF,MINNAR,MINNAF,MINNAX,ASSR,OFR,OFF,DNLR,DNLF,DNLX,DNLT,DBLR,DBLF,DBLX,DBLT,DFORMLR,DFORMLF,DFORMLX,DFORMLT,DNAR,DNAF,DNAX,DMIPR,DMIPF,DMIPX,DORE1R,DORE1F,DORE1X,DOR1R,DOR1F,DOR1X,DOR2R,DOR2F,DOR2X,DOR3R,DOR3F,DOR3X,DOR4R,DOR4F,DOR4X,DOR5R,DOR5F,DOR5X,DS2DR,DS2DF,DS2DX,DS3DR,DS3DF,DS3DX,DPSIF1M,DPSIF1F,DPBOK1M,DPBOK1F,DPFIG1M,DPFIG1F,DBLFRR,DSKPS1M,DSKPS1F,DSKPS2M,DSKPS2F,DSKPB1M,DSKPB1F,DSKPB2M,DSKPB2F,DSKPF1M,DSKPF1F,DSKPF2M,DSKPF2F,DSKLOGAR,DSKLOGBR,DSKADRAR,DSKADRBR,DSKTIDAR,DSKTIDBR,TX01,DMINNAR,DMINNAF,DMINNAX,EYS01,EYS02,EYS03,EYS04,EYS05,EYS06,EYS07,EYS08,EYS09,EYS10,EYS11,EYS12,EYS13,EYS14,EYS15,EYS16,EYS17,EYS18,EYS19,EYS20,IDNL,IDBL,IDFORML,IDNA,IDMIP,IDOR1,IDOR13,IDOR45,IDS2D,IDS3D,IDPSIF1,IDPBOK1,IDPFIG1,IDBLFR,IDSK,IDMINNA,IEYS
NSU1629251,Sundsvall,Dator 05,.,C:\Users\bijonspc\Documents\ATS5\Personer\MTGV913.ATSPF,1993.0,Man,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,42557.0,Birgitta Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,16.0,,,,,9.0,6.0,3.0,34.0,21.0,6.0,12.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,9.0,4.0,0.0,11.0,2.0,0.0,85.0,3.0,70.0,2.0,61.0,2.0,,,,,,,,,,,,,,,,,,,,,6.0,5.0,13.0,,,,,,,,,,,,,,,,,,,,,X282752385416322600000000000000000000000000X,,X53467252147599731642379927282515819900000000000000X,X4261162544138562788428365450000000000000000000000000000000000000000000000000000000180040007500970033004600490061003400560041007300360116003701260102008501540197003200430570012202460151030100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007000320003000023012860402032765000000000000000000000000000000000000000000000000000000000000X,,,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000000001001001000000010000000000001000010000000000001100000000100000000000001888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321441400000000000000000X,X0101010101010110101101011100011101111110001100110101001110110111010010110001101111001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110110100100111010111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111010101110101101110100101010111100101111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,X091101999910100199999999X,
NSU1629404,Sundsvall,Dator 05,.,C:\Users\bijonspc\Documents\ATS5\Personer\FCOX179.ATSPF,1984.0,Man,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,42514.0,Birgitta Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,4.0,42.0,13.0,3.0,0.0,23.0,6.0,0.0,,,,,,,,,,,,,,,,15.0,2.0,0.0,19.0,0.0,0.0,124.0,0.0,130.0,6.0,128.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X4263172544188562788628465455224764467351318431787530000000000000000000000000000000170025001700770029003000240037002100200028003700270029004700510032005900470058004200510099004200350022004700910027005000640102003500530036023200380035021200940023002200480039004700320063031300440048009600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007000320000900023012860400801312001370003800047006900082501525001580006000000000000000000000X,X421343322354524221524135525130X,,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000100100000000100000100010000000000001000000000010000001010000000000000001000001000000000010000101088888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321431211422200000000000X,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001110010110001011010111010111011000011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0010100011101010110101101010011010011100011011101110110100110111010011011011111000111101001010100011011101011001100110011010000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100011010111100101110100101110100101010111100101111001011001101011101101111100101100100101111101110100111010100101110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NSU1629403,Sundsvall,Dator 05,.,C:\Users\bijonspc\Documents\ATS5\Personer\VNLR930.ATSPF,1972.0,Man,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Svenska/Danska/Norska,42486.0,Birgitta Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,0.0,10.0,2.0,0.0,8.0,3.0,0.0,,,,,,,,,,,,,50.0,1.0,50.0,2.0,39.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X421343330000000000000000000000232412252541000000000000000000335123251130000000000000000000X,,,,X0101010101010110101101011100011101111110001100110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111000110101001010011010011101011011000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100010110111100101110101101110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NSU1619355,Sundsvall,Dator 05,.,C:\Users\bijonspc\Documents\ATS5\Personer\OXSY988.ATSPF,1971.0,Kvinna,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Svenska/Danska/Norska,42450.0,Birgitta Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,0.0,26.0,,,,,,,,,,,,11.0,1.0,4.0,,,,,,,,,,,,,,,,,,,5.0,0.0,8.0,7.0,0.0,3.0,93.0,0.0,75.0,0.0,80.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835416657185374384230000000000000000X,,,,X0000700007000320000900023012860400801296327650003800047327653276532765001580006000000000000000000000X,,,,X9999999999999999000000001000000099999999999999990000000001000000010000000000000099999999999999990000100000000000000000000010000099999999999999999999999999999999999999999999999999999999999999999999999999999999888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342399900000000000000000000X,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001110010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110110100110111010011001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100101010011100101111001011001101000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NGA1619504,Sundsvall,Dator 05,.,C:\Users\bijonspc\Documents\ATS5\Personer\UXQC889.ATSPF,1991.0,Kvinna,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,42446.0,Birgitta Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,1.0,17.0,,,,,,,,,34.0,11.0,30.0,,,,,,,,,,,,,,,,,,,,,,14.0,1.0,2.0,20.0,1.0,1.0,132.0,1.0,85.0,1.0,136.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835416997143000000000000000000000000X,,,X4263132142158772788428265451224564417351318430000000000000000000000000000000000000190025002700460019004400190041002300360029010500270035007400360035004200450123003001150100004900330044021002310058004700760144004700680076009800510032020800810037002700980055004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000099999999999999991000000010000000000100000000000100100000000100000100010000000000001000000000010000100000000001009999999999999999000000010100001088888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321491211422221300000000X,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001110010110001001010111010111011000011111010011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011100011011101110110100110111010011011011111010111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100101010111100101111001011001101011101110111100101100100101111101110100111010100101110110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NUP1614905,Sundsvall,Dator 05,.,C:\Users\bijonspc\Documents\ATS5\Personer\TRSL824.ATSPF,1989.0,Man,5 Avslutade universitets- eller högskolestudier (med examen).,Svenska/Danska/Norska,42445.0,Bigitta Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,12.0,,,,,,,,,31.0,7.0,21.0,,,,,,,,,,,,,,,,,,,,,,13.0,0.0,1.0,13.0,3.0,0.0,34.0,1.0,75.0,3.0,100.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282757679916000000000000000000000000000000X,,,X4261172344168572788428465452224464437300000000000000000000000000000000000000000000210039003102360024003900200046003500370083005300380065003800590046005000760034004000770166008200570041014104670080006900760122002600530055005600710098000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000999999999999999900100000000100000100010000000000001000000000010088888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342311441214400000000000000X,X0101010101010110111101010100011101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010010101011011100110110100110111010011011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110111001110100101010111100101111010011001101011101000111100101000100101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NSU1619102,Sundsvall,Dator 05,.,C:\Users\bijonspc\Documents\ATS5\Personer\TBPN870.ATSPF,1994.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,42409.0,Birgitta Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,17.0,21.0,,,,,,,19.0,4.0,0.0,15.0,14.0,0.0,12.0,18.0,0.0,,,,,,,12.0,8.0,0.0,18.0,1.0,0.0,93.0,0.0,95.0,4.0,89.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X4261132544178771788428435454222556417745318531700000000000000000000000000000000000150018002300820029002300550112002400260028005700390031005600330059003600630097003200290066011300510027010100890051006401340096003600440034002600650040011200490035006902210121006000340175000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,X431343322354524421514430000000212412211444415522154434535410331323153245223231325512414115X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010010000001000000010000000000000000010000100000001100000000100010000000000000010100000000000001010000000000011000000000000010000100000010000000100101000000110000000000100010010000100000088888888888888888888888888888888X,X422342321431213422200000000000X,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001110010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011110010110001101010011010011101011011101110110100110111010011011101111010111101001010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100101010111100101111001011001101011101001101100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NSU1619402,Sundsvall,Dator 05,.,C:\Users\bijonspc\Documents\ATS5\Personer\CAUE644.ATSPF,1958.0,Man,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,42404.0,Birgitta Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,0.0,11.0,0.0,0.0,79.0,14.0,45.0,3.0,61.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X4261172144168571785228365550000000000000000000000000000000000000000000000000000000500047005801440058008700640107006000670100014600550124006401130103005902120206018100970144010201420173010800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000010000000001001000000010000000000100000000000188888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321430000000000000000000X,X0001010001000110101001001100010101010010100100100101001110110011010010111010101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0010100011111010110001001010011010011101011010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100101000111100001111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NSU1619103,Sundsvall,Dator 05,.,C:\Users\bijonspc\Documents\ATS5\Personer\WPWR189.ATSPF,1982.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,42401.0,Birgitta Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,7.0,14.0,,,,,,,11.0,4.0,1.0,6.0,3.0,9.0,3.0,3.0,14.0,,,,,,,9.0,4.0,0.0,5.0,6.0,0.0,114.0,0.0,100.0,1.0,95.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X4263172344138772788288468455000000000000000000000000000000000000000000000000000000230024002700510028005300330151003600220046010600300049003900850040008701260095041200660113033701670072008802330000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,X461343324454514400000000000000262416262661163666000000000000636626236661666665660000000000X,,X0010000000000000000000001000000000000100000000000000000001000000001000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000100000001100000000000010000000100888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X443242122230000000000000000000X,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001110010110001011010111010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111000110101101010011010011101011011101110110100110111010011011011111010111101001010100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X1111010010100111010111100101110101101110100101010111100101111011011001001011101101111100101000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NSU1549402,Sundsvall,Dator 05,.,C:\Users\bijonspc\Documents\ATS5\Personer\LKZX567.ATSPF,1972.0,Man,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,42359.0,Birgitta Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,6.0,41.0,,,,,,,,,,,,,,,,,,,,,,16.0,0.0,0.0,10.0,1.0,0.0,90.0,0.0,84.0,1.0,75.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X4263172544188572888628465451224764457355316131787570000000000000000000000000000000170028002800370025002900200048002400220021003300330027004100470045004200490168004100290059005400300030002801370032006800560141004600430022020900590031002801080039002900890222004100560055008800470051011800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000100100000000100000100010000000000001000000000010000001010000000000000000000100100888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321440000000000000000000X,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110110100110111010011011011110000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101100101101110100101010111100101111001011001101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NSU1549401,Sundsvall,Dator 05,.,C:\Users\bijonspc\Documents\ATS5\Personer\XTDF911.ATSPF,1990.0,Man,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,42333.0,Birgitta Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSU1549003,Sundsvall,Dator 05,.,C:\Users\bijonspc\Documents\ATS5\Personer\KLKF634.ATSPF,1986.0,Man,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Svenska/Danska/Norska,42332.0,Birgitta Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,1.0,22.0,,,,,,,,,29.0,4.0,24.0,8.0,2.0,2.0,,,,13.0,0.0,1.0,14.0,1.0,3.0,8.0,2.0,2.0,,,,,,,,,,9.0,2.0,0.0,60.0,1.0,78.0,4.0,91.0,4.0,,25.0,0.0,25.0,2.0,45.0,1.0,30.0,2.0,39.0,2.0,35.0,5.0,3.0,7.0,4.0,10.0,1.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,X282762835816657112379900000000000000000000X,,,X4261172544188572788728465455224560000000000000000000000000000000000000000000000000240027002001180025004900360166002200260025019500420041007901030019004600360409003300550124009400710051004204900036004300620313002300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007000323276500018012860400801296327650003800045006900000000000000000000000000000000000000000X,,X421343322304520000000000000000232416252645414262000000000000335326151301000000000000000000X,,,X422344321440000000000000000000X,X0101010101010110111101011100011101111110001100110101011110110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011100110110010010111010011011011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100111100101101110100101010111100101111001011001001011101100111100101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,X010101010101011011110001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111010111001011110101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110001111100011010110101001101001110101101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011010111010010001110100100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011101001010001111011110010111010100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011101001110011011010001100111010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011011100010101000001001101111001010010100111111X,,
NSU1549001,Sundsvall,Dator 05,.,C:\Users\bijonspc\Documents\ATS5\Personer\VNBL556.ATSPF,1970.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,42300.0,Birgitta Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,10.0,45.0,,,,,,,23.0,7.0,0.0,21.0,9.0,0.0,24.0,6.0,0.0,,,,,,,15.0,1.0,0.0,,,,145.0,2.0,120.0,8.0,129.0,7.0,,62.0,4.0,40.0,5.0,60.0,2.0,20.0,2.0,52.0,5.0,30.0,7.0,4.0,9.0,5.0,11.0,4.0,3.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,X4263132244184572788428465455225764467356318431487572786445520000000000000000000000180020001600230018001500230024002600260025006400660067004100410015003900270171003200320025003500420027001901630020002400350073001500290012015200250027002001620026001900590029002300270037005900320026008102190036003601400067002800410071009400000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,X421344324354525413523415525551232415252245414242242334334533335323251322233354235212523243X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000000001001001000000010000000000100000000000100100000000100000100010000000000001000000000010000001010000000000000000000100100888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001110010110001011010111110111011000011111010001110011111001101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010111010011101011011100110110100110111010011010111111010110101001001100011111001011001101110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110000001010111100101111001011001101011101101101100101100100101111101010100000010100101110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,X010101010101011011110101110001110111111000110011000100011001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100010101011011010101000110010010010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110001111101011010100101001101001110001101110111011000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010110011110010001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011101001010011101111110010110010110101010110101011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011101001011011111010001110111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101101101010101100111111111011101111011110111111X,,
NSU1529002,Sundsvall,Dator 05,.,C:\Users\bijonspc\Documents\ATS5\Personer\MHTQ115.ATSPF,1970.0,Man,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,42277.0,Birgitta Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,8.0,,,,,,,,,26.0,12.0,10.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,55.0,0.0,50.0,1.0,39.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X126568830000000000000000000000000000000000X,,,X4263132242158535788828475456224464477700000000000000000000000000000000000000000000190031004400520025002000440029002000220035006300410055005400340114003101390033007300800362004000360050039800380133016301340074002200260110004301040142000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007327650001100023012300000000000000000000000000000000000000000000000000000000000000000000000X,,,,,,X0101010101010110111101011100011101111110001100110101001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100111111010110101101010011010011101011010101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
